w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,player_rank,player_bcr
0,1,11,16,34,-1
6,10,0,6,62,-0.4
1,5,4,13,46,-0.8
5,9,14,20,202,-0.444444444
3,9,4,10,3,-0.666666667
5,5,1,6,8,0
2,6,4,11,121,-0.666666667
3,4,1,4,44,-0.25
8,17,4,15,28,-0.529411765
2,4,8,13,22,-0.5
1,1,6,10,152,0
2,2,2,7,49,0
0,2,4,9,11,-1
11,16,10,14,54,-0.3125
3,5,1,5,74,-0.4
5,8,5,10,68,-0.375
1,2,2,5,18,-0.5
4,4,3,8,29,0
4,7,5,10,167,-0.428571429
7,9,3,8,73,-0.222222222
1,3,3,6,2,-0.666666667
3,4,2,6,1,-0.25
4,6,8,12,140,-0.333333333
4,9,8,15,21,-0.555555556
3,5,9,12,12,-0.4
1,4,7,12,39,-0.75
7,9,6,11,23,-0.222222222
6,6,4,8,30,0
5,7,5,9,7,-0.285714286
7,11,4,7,116,-0.363636364
3,8,3,9,106,-0.625
3,5,9,12,19,-0.4
6,7,6,10,15,-0.142857143
4,7,8,15,141,-0.428571429
13,17,4,10,77,-0.235294118
4,4,4,8,26,0
5,6,3,6,88,-0.166666667
4,6,13,17,5,-0.333333333
2,3,7,12,32,-0.333333333
1,2,7,11,20,-0.5
1,3,4,9,9,-0.666666667
1,1,4,10,16,0
9,14,4,10,34,-0.357142857
6,8,1,5,62,-0.25
2,3,5,9,3,-0.333333333
0,1,8,12,8,-1
6,11,6,13,44,-0.454545455
4,5,2,6,22,-0.2
3,5,8,13,11,-0.4
3,12,8,20,74,-0.75
3,4,3,6,18,-0.25
7,10,11,17,29,-0.3
1,3,14,18,2,-0.666666667
3,5,1,7,1,-0.4
NA,NA,NA,NA,12,#VALUE!
0,1,5,9,23,-1
2,3,3,7,30,-0.333333333
7,9,2,7,116,-0.222222222
1,5,11,17,15,-0.8
4,6,6,10,141,-0.333333333
3,5,4,9,26,-0.4
2,2,1,6,5,0
8,8,1,3,9,0
2,2,7,11,16,0
18,23,3,10,3,-0.217391304
2,3,3,8,8,-0.333333333
3,4,7,11,22,-0.25
4,6,4,7,18,-0.333333333
3,4,3,7,2,-0.25
0,1,4,7,12,-1
3,5,8,12,23,-0.4
5,8,7,13,15,-0.375
3,3,7,12,26,0
0,0,3,5,5,#DIV/0!
4,7,10,15,16,-0.428571429
2,3,5,8,8,-0.333333333
9,9,3,6,18,0
0,1,5,8,12,-1
